MUNICIPIO,CTY,INDUSTRIA,NAICS,UNIDADES, EMPLEO PROMEDIO , SALRIO Total Municipio Tercer  Trimestre 2021 , Promedio 
Cataño,33,"Agricultura, Bosque, Pesca y Caza        ",11,0, -   , -   , -   
Cataño,33,Mineria                                  ,21,0, -   , -   , -   
Cataño,33,"Electricidad, Agua y Gas                 ",22,1, * , * , * 
Cataño,33,Construcción                             ,23,18, 250 ," 1,814,672 "," 7,259 "
Cataño,33,Manufactura                              ,31-33,20, 631 ," 5,824,443 "," 9,230 "
Cataño,33,Alimentos                                ,311,4, 223 ," 1,228,489 "," 5,501 "
Cataño,33,Productos de Tabaco y Bebidas            ,312,1, * , * , * 
Cataño,33,Textiles                                 ,313,0, -   , -   , -   
Cataño,33,Productos Textiles Excepto Ropa          ,314,2, * , * , * 
Cataño,33,Ropa                                     ,315,1, * , * , * 
Cataño,33,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
Cataño,33,Productos de Madera                      ,321,0, -   , -   , -   
Cataño,33,Papel                                    ,322,1, * , * , * 
Cataño,33,Imprenta e Industrias Relacionadas       ,323,0, -   , -   , -   
Cataño,33,Productos de Petróleo y Carbón           ,324,0, -   , -   , -   
Cataño,33,Productos Químicos                       ,325,2, * , * , * 
Cataño,33,Productos de Goma y Plásticos            ,326,0, -   , -   , -   
Cataño,33,Productos Minerales no Metálicos         ,327,1, * , * , * 
Cataño,33,Industrias de Materiales Primarios       ,331,1, * , * , * 
Cataño,33,Productos de Metal                       ,332,5, 124 ," 820,026 "," 6,631 "
Cataño,33,Maquinaria                               ,333,1, * , * , * 
Cataño,33,Computadora y Productos Electrónicos    ,334,1, * , * , * 
Cataño,33,Equipo y Aparatos Eléctricos             ,335,0, -   , -   , -   
Cataño,33,Equipo de Transportación                 ,336,0, -   , -   , -   
Cataño,33,Muebles y Productos Relacionados         ,337,0, -   , -   , -   
Cataño,33,Industrias Manufactureras Misceláneas    ,339,0, -   , -   , -   
Cataño,33,Comercio al por Mayor                    ,42,59," 2,211 "," 24,172,867 "," 10,931 "
Cataño,33,Comercio al Detal                        ,44-45,57, 751 ," 6,941,582 "," 9,243 "
Cataño,33,Transportación y Almacenamiento           ,48-49,26," 1,077 "," 11,135,819 "," 10,340 "
Cataño,33,Información                              ,51,7, * , * , * 
Cataño,33,Finanzas y Seguros                       ,52,3, 17 ," 97,676 "," 5,635 "
Cataño,33,"Bienes Raíces, Renta o Arrendamiento     ",53,13, 97 ," 651,361 "," 6,692 "
Cataño,33,Servicios Profesionales y Técnicos       ,54,23, 275 ," 3,111,650 "," 11,301 "
Cataño,33,Gerencia de Companías y Empresas         ,55,6, 375 ," 5,018,720 "," 13,371 "
Cataño,33,Servicios Adm. y Desperdicios Sólidos    ,56,17," 2,384 "," 9,812,950 "," 4,117 "
Cataño,33,Servicios Educativos                     ,61,4, 263 ," 1,706,234 "," 6,488 "
Cataño,33,Servicios de Salud y Asistencia Social   ,62,16, 123 ," 783,931 "," 6,356 "
Cataño,33,"Arte, Entretenimiento y Recreación       ",71,0, -   , -   , -   
Cataño,33,Alojamiento y Servicios de Alimentos     ,72,21, 186 ," 675,538 "," 3,638 "
Cataño,33,Otros Servicios Excepto Adm. Pública     ,81,12, 205 ," 1,754,780 "," 8,574 "
Cataño,33,Administración Pública                   ,92,10, 828 ," 4,157,058 "," 5,021 "
Cataño,33,Otros (Establecimientos no Clasificados) ,99,0, -   , -   , -   
Cayey,35,Total Municipio Tercer Trimestre 2021 ,,481," 9,368 "," 64,670,310 "," 6,903 "
Cayey,35,"Agricultura, Bosque, Pesca y Caza        ",11,11, 20 ," 80,680 "," 3,968 "
Cayey,35,Mineria                                  ,21,1, * , * , * 
Cayey,35,"Electricidad, Agua y Gas                 ",22,3, * , * , * 
Cayey,35,Construcción                             ,23,23, 122 ," 653,089 "," 5,339 "
Cayey,35,Manufactura                              ,31-33,21," 1,832 "," 16,231,433 "," 8,860 "
Cayey,35,Alimentos                                ,311,3, 45 ," 158,742 "," 3,528 "
Cayey,35,Productos de Tabaco y Bebidas            ,312,3, 826 ," 7,485,819 "," 9,063 "
Cayey,35,Textiles                                 ,313,0, -   , -   , -   
Cayey,35,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Cayey,35,Ropa                                     ,315,1, * , * , * 
Cayey,35,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
Cayey,35,Productos de Madera                      ,321,1, * , * , * 
Cayey,35,Papel                                    ,322,1, * , * , * 
Cayey,35,Imprenta e Industrias Relacionadas       ,323,1, * , * , * 
Cayey,35,Productos de Petróleo y Carbón           ,324,0, -   , -   , -   
Cayey,35,Productos Químicos                       ,325,2, * , * , * 
Cayey,35,Productos de Goma y Plásticos            ,326,3, * , * , * 
Cayey,35,Productos Minerales no Metálicos         ,327,1, * , * , * 
Cayey,35,Industrias de Materiales Primarios       ,331,1, * , * , * 
Cayey,35,Productos de Metal                       ,332,2, * , * , * 
Cayey,35,Maquinaria                               ,333,0, -   , -   , -   
Cayey,35,Computadora y Productos Electrónicos    ,334,0, -   , -   , -   
Cayey,35,Equipo y Aparatos Eléctricos             ,335,0, -   , -   , -   
Cayey,35,Equipo de Transportación                 ,336,0, -   , -   , -   
Cayey,35,Muebles y Productos Relacionados         ,337,2, * , * , * 
Cayey,35,Industrias Manufactureras Misceláneas    ,339,0, -   , -   , -   
Cayey,35,Comercio al por Mayor                    ,42,14, 226 ," 1,824,174 "," 8,072 "
Cayey,35,Comercio al Detal                        ,44-45,107," 2,019 "," 11,271,937 "," 5,583 "
Cayey,35,Transportación y Almacenamiento           ,48-49,9, 57 ," 781,603 "," 13,633 "
Cayey,35,Información                              ,51,5, 81 ," 723,506 "," 8,932 "
Cayey,35,Finanzas y Seguros                       ,52,13, 100 ," 847,421 "," 8,474 "
Cayey,35,"Bienes Raíces, Renta o Arrendamiento     ",53,18, 63 ," 373,115 "," 5,954 "
Cayey,35,Servicios Profesionales y Técnicos       ,54,25, 70 ," 412,980 "," 5,872 "
Cayey,35,Gerencia de Companías y Empresas         ,55,2, * , * , * 
Cayey,35,Servicios Adm. y Desperdicios Sólidos    ,56,10, 71 ," 298,248 "," 4,181 "
Cayey,35,Servicios Educativos                     ,61,9," 1,166 "," 8,923,701 "," 7,651 "
Cayey,35,Servicios de Salud y Asistencia Social   ,62,102," 1,719 "," 13,630,198 "," 7,928 "
Cayey,35,"Arte, Entretenimiento y Recreación       ",71,9, 29 ," 282,533 "," 9,856 "
Cayey,35,Alojamiento y Servicios de Alimentos     ,72,53, 700 ," 2,266,440 "," 3,238 "
Cayey,35,Otros Servicios Excepto Adm. Pública     ,81,30, 116 ," 520,222 "," 4,485 "
Cayey,35,Administración Pública                   ,92,14, 769 ," 3,699,129 "," 4,808 "
Cayey,35,Otros (Establecimientos no Clasificados) ,99,2, * , * , * 
Ceiba,37,Total Municipio Tercer Trimestre 2021 ,,104," 1,382 "," 7,777,633 "," 5,626 "
Ceiba,37,"Agricultura, Bosque, Pesca y Caza        ",11,2, * , * , * 
Ceiba,37,Mineria                                  ,21,0, -   , -   , -   
Ceiba,37,"Electricidad, Agua y Gas                 ",22,0, -   , -   , -   
Ceiba,37,Construcción                             ,23,6, 45 ," 130,477 "," 2,921 "
Ceiba,37,Manufactura                              ,31-33,9, 300 ," 1,844,446 "," 6,141 "
Ceiba,37,Alimentos                                ,311,1, * , * , * 
Ceiba,37,Productos de Tabaco y Bebidas            ,312,0, -   , -   , -   
Ceiba,37,Textiles                                 ,313,0, -   , -   , -   
Ceiba,37,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Ceiba,37,Ropa                                     ,315,0, -   , -   , -   
Ceiba,37,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
Ceiba,37,Productos de Madera                      ,321,0, -   , -   , -   
Ceiba,37,Papel                                    ,322,0, -   , -   , -   
Ceiba,37,Imprenta e Industrias Relacionadas       ,323,0, -   , -   , -   
Ceiba,37,Productos de Petróleo y Carbón           ,324,0, -   , -   , -   
Ceiba,37,Productos Químicos                       ,325,1, * , * , * 
Ceiba,37,Productos de Goma y Plásticos            ,326,0, -   , -   , -   
Ceiba,37,Productos Minerales no Metálicos         ,327,1, * , * , * 
Ceiba,37,Industrias de Materiales Primarios       ,331,0, -   , -   , -   
Ceiba,37,Productos de Metal                       ,332,3, 52 ," 353,504 "," 6,842 "
Ceiba,37,Maquinaria                               ,333,1, * , * , * 
Ceiba,37,Computadora y Productos Electrónicos    ,334,0, -   , -   , -   
Ceiba,37,Equipo y Aparatos Eléctricos             ,335,0, -   , -   , -   
Ceiba,37,Equipo de Transportación                 ,336,1, * , * , * 
Ceiba,37,Muebles y Productos Relacionados         ,337,0, -   , -   , -   
Ceiba,37,Industrias Manufactureras Misceláneas    ,339,1, * , * , * 
Ceiba,37,Comercio al por Mayor                    ,42,6, 43 ," 251,963 "," 5,815 "
Ceiba,37,Comercio al Detal                        ,44-45,15, 107 ," 532,318 "," 4,990 "
Ceiba,37,Transportación y Almacenamiento           ,48-49,3, 50 ," 385,610 "," 7,764 "
Ceiba,37,Información                              ,51,0, -   , -   , -   
Ceiba,37,Finanzas y Seguros                       ,52,4, 21 ," 146,367 "," 6,970 "
Ceiba,37,"Bienes Raíces, Renta o Arrendamiento     ",53,4, 8 ," 32,611 "," 4,076 "
Ceiba,37,Servicios Profesionales y Técnicos       ,54,9, 27 ," 429,376 "," 15,709 "
Ceiba,37,Gerencia de Companías y Empresas         ,55,0, -   , -   , -   
Ceiba,37,Servicios Adm. y Desperdicios Sólidos    ,56,6, 61 ," 330,755 "," 5,393 "
Ceiba,37,Servicios Educativos                     ,61,4, 207 ," 1,320,584 "," 6,369 "
Ceiba,37,Servicios de Salud y Asistencia Social   ,62,14, 57 ," 257,314 "," 4,541 "
Ceiba,37,"Arte, Entretenimiento y Recreación       ",71,0, -   , -   , -   
Ceiba,37,Alojamiento y Servicios de Alimentos     ,72,6, 66 ," 239,784 "," 3,652 "
Ceiba,37,Otros Servicios Excepto Adm. Pública     ,81,6, 13 ," 60,521 "," 4,655 "
Ceiba,37,Administración Pública                   ,92,10, 375 ," 1,812,984 "," 4,830 "
Ceiba,37,Otros (Establecimientos no Clasificados) ,99,0, -   , -   , -   
Ciales,39,Total Municipio Tercer Trimestre 2021 ,,149," 1,598 "," 8,392,342 "," 5,252 "
Ciales,39,"Agricultura, Bosque, Pesca y Caza        ",11,22, 51 ," 149,414 "," 2,911 "
Ciales,39,Mineria                                  ,21,1, * , * , * 
Ciales,39,"Electricidad, Agua y Gas                 ",22,1, * , * , * 
Ciales,39,Construcción                             ,23,13, 90 ," 505,049 "," 5,612 "
Ciales,39,Manufactura                              ,31-33,11, 114 ," 605,572 "," 5,328 "
Ciales,39,Alimentos                                ,311,6, 57 ," 259,047 "," 4,545 "
Ciales,39,Productos de Tabaco y Bebidas            ,312,1, * , * , * 
Ciales,39,Textiles                                 ,313,0, -   , -   , -   
Ciales,39,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Ciales,39,Ropa                                     ,315,0, -   , -   , -   
Ciales,39,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
Ciales,39,Productos de Madera                      ,321,0, -   , -   , -   
Ciales,39,Papel                                    ,322,0, -   , -   , -   
Ciales,39,Imprenta e Industrias Relacionadas       ,323,1, * , * , * 
Ciales,39,Productos de Petróleo y Carbón           ,324,0, -   , -   , -   
Ciales,39,Productos Químicos                       ,325,1, * , * , * 
Ciales,39,Productos de Goma y Plásticos            ,326,2, * , * , * 
Ciales,39,Productos Minerales no Metálicos         ,327,0, -   , -   , -   
Ciales,39,Industrias de Materiales Primarios       ,331,0, -   , -   , -   
Ciales,39,Productos de Metal                       ,332,0, -   , -   , -   
Ciales,39,Maquinaria                               ,333,0, -   , -   , -   
Ciales,39,Computadora y Productos Electrónicos    ,334,0, -   , -   , -   
Ciales,39,Equipo y Aparatos Eléctricos             ,335,0, -   , -   , -   
Ciales,39,Equipo de Transportación                 ,336,0, -   , -   , -   
Ciales,39,Muebles y Productos Relacionados         ,337,0, -   , -   , -   
Ciales,39,Industrias Manufactureras Misceláneas    ,339,0, -   , -   , -   
Ciales,39,Comercio al por Mayor                    ,42,4, 15 ," 102,266 "," 6,818 "
Ciales,39,Comercio al Detal                        ,44-45,30, 224 ," 809,436 "," 3,614 "
Ciales,39,Transportación y Almacenamiento           ,48-49,2, * , * , * 
Ciales,39,Información                              ,51,0, -   , -   , -   
Ciales,39,Finanzas y Seguros                       ,52,2, * , * , * 
Ciales,39,"Bienes Raíces, Renta o Arrendamiento     ",53,2, * , * , * 
Ciales,39,Servicios Profesionales y Técnicos       ,54,9, 42 ," 291,296 "," 6,991 "
Ciales,39,Gerencia de Companías y Empresas         ,55,0, -   , -   , -   
Ciales,39,Servicios Adm. y Desperdicios Sólidos    ,56,3, 7 ," 22,143 "," 3,321 "
Ciales,39,Servicios Educativos                     ,61,2, 251 ," 1,641,058 "," 6,538 "
Ciales,39,Servicios de Salud y Asistencia Social   ,62,15, 253 ," 1,645,333 "," 6,503 "
Ciales,39,"Arte, Entretenimiento y Recreación       ",71,0, -   , -   , -   
Ciales,39,Alojamiento y Servicios de Alimentos     ,72,15, 134 ," 489,882 "," 3,647 "
Ciales,39,Otros Servicios Excepto Adm. Pública     ,81,8, 16 ," 53,270 "," 3,400 "
Ciales,39,Administración Pública                   ,92,9, 319 ," 1,451,602 "," 4,550 "
Ciales,39,Otros (Establecimientos no Clasificados) ,99,0, -   , -   , -   
Cidra,41,Total Municipio Tercer Trimestre 2021 ,,391," 5,986 "," 38,980,573 "," 6,512 "
Cidra,41,"Agricultura, Bosque, Pesca y Caza        ",11,14, 23 ," 70,531 "," 3,023 "
Cidra,41,Mineria                                  ,21,0, -   , -   , -   
Cidra,41,"Electricidad, Agua y Gas                 ",22,1, * , * , * 
Cidra,41,Construcción                             ,23,20, 91 ," 467,476 "," 5,137 "
Cidra,41,Manufactura                              ,31-33,29," 1,177 "," 10,833,140 "," 9,201 "
Cidra,41,Alimentos                                ,311,4, * , * , * 
Cidra,41,Productos de Tabaco y Bebidas            ,312,3, 40 ," 244,206 "," 6,055 "
Cidra,41,Textiles                                 ,313,0, -   , -   , -   
Cidra,41,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Cidra,41,Ropa                                     ,315,2, * , * , * 
Cidra,41,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
Cidra,41,Productos de Madera                      ,321,0, -   , -   , -   
Cidra,41,Papel                                    ,322,0, -   , -   , -   
Cidra,41,Imprenta e Industrias Relacionadas       ,323,1, * , * , * 
Cidra,41,Productos de Petróleo y Carbón           ,324,0, -   , -   , -   
Cidra,41,Productos Químicos                       ,325,2, * , * , * 
Cidra,41,Productos de Goma y Plásticos            ,326,2, * , * , * 
Cidra,41,Productos Minerales no Metálicos         ,327,0, -   , -   , -   
Cidra,41,Industrias de Materiales Primarios       ,331,1, * , * , * 
Cidra,41,Productos de Metal                       ,332,6, 132 ," 939,440 "," 7,117 "
Cidra,41,Maquinaria                               ,333,2, * , * , * 
Cidra,41,Computadora y Productos Electrónicos    ,334,0, -   , -   , -   
Cidra,41,Equipo y Aparatos Eléctricos             ,335,0, -   , -   , -   
Cidra,41,Equipo de Transportación                 ,336,0, -   , -   , -   
Cidra,41,Muebles y Productos Relacionados         ,337,4, 10 ," 37,219 "," 3,602 "
Cidra,41,Industrias Manufactureras Misceláneas    ,339,2, * , * , * 
Cidra,41,Comercio al por Mayor                    ,42,8, 57 ," 634,556 "," 11,133 "
Cidra,41,Comercio al Detal                        ,44-45,89, 983 ," 5,270,989 "," 5,362 "
Cidra,41,Transportación y Almacenamiento           ,48-49,20, 131 ," 908,753 "," 6,919 "
Cidra,41,Información                              ,51,6, 67 ," 535,894 "," 8,038 "
Cidra,41,Finanzas y Seguros                       ,52,6, 52 ," 398,016 "," 7,704 "
Cidra,41,"Bienes Raíces, Renta o Arrendamiento     ",53,10, 48 ," 242,779 "," 5,093 "
Cidra,41,Servicios Profesionales y Técnicos       ,54,21, 49 ," 368,641 "," 7,472 "
Cidra,41,Gerencia de Companías y Empresas         ,55,2, * , * , * 
Cidra,41,Servicios Adm. y Desperdicios Sólidos    ,56,15, 364 ," 1,702,593 "," 4,673 "
Cidra,41,Servicios Educativos                     ,61,4, 582 ," 3,713,422 "," 6,384 "
Cidra,41,Servicios de Salud y Asistencia Social   ,62,61, 880 ," 6,310,707 "," 7,169 "
Cidra,41,"Arte, Entretenimiento y Recreación       ",71,2, * , * , * 
Cidra,41,Alojamiento y Servicios de Alimentos     ,72,50, 682 ," 2,527,805 "," 3,706 "
Cidra,41,Otros Servicios Excepto Adm. Pública     ,81,21, 175 ," 1,003,626 "," 5,724 "
Cidra,41,Administración Pública                   ,92,12, 493 ," 2,566,453 "," 5,209 "
Cidra,41,Otros (Establecimientos no Clasificados) ,99,0, -   , -   , -   
Coamo,43,Total Municipio Tercer Trimestre 2021 ,,296," 3,534 "," 18,946,083 "," 5,361 "
Coamo,43,"Agricultura, Bosque, Pesca y Caza        ",11,30, 177 ," 645,537 "," 3,640 "
Coamo,43,Mineria                                  ,21,0, -   , -   , -   
Coamo,43,"Electricidad, Agua y Gas                 ",22,1, * , * , * 
Coamo,43,Construcción                             ,23,10, 99 ," 489,741 "," 4,947 "
Coamo,43,Manufactura                              ,31-33,24, 530 ," 3,635,171 "," 6,863 "
Coamo,43,Alimentos                                ,311,8, 145 ," 588,129 "," 4,065 "
Coamo,43,Productos de Tabaco y Bebidas            ,312,2, * , * , * 
Coamo,43,Textiles                                 ,313,0, -   , -   , -   
Coamo,43,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Coamo,43,Ropa                                     ,315,1, * , * , * 
Coamo,43,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
Coamo,43,Productos de Madera                      ,321,0, -   , -   , -   
Coamo,43,Papel                                    ,322,0, -   , -   , -   
Coamo,43,Imprenta e Industrias Relacionadas       ,323,1, * , * , * 
Coamo,43,Productos de Petróleo y Carbón           ,324,0, -   , -   , -   
Coamo,43,Productos Químicos                       ,325,1, * , * , * 
Coamo,43,Productos de Goma y Plásticos            ,326,0, -   , -   , -   
Coamo,43,Productos Minerales no Metálicos         ,327,2, * , * , * 
Coamo,43,Industrias de Materiales Primarios       ,331,0, -   , -   , -   
Coamo,43,Productos de Metal                       ,332,2, * , * , * 
Coamo,43,Maquinaria                               ,333,0, -   , -   , -   
Coamo,43,Computadora y Productos Electrónicos    ,334,0, -   , -   , -   
Coamo,43,Equipo y Aparatos Eléctricos             ,335,1, * , * , * 
Coamo,43,Equipo de Transportación                 ,336,0, -   , -   , -   
Coamo,43,Muebles y Productos Relacionados         ,337,4, * , * , * 
Coamo,43,Industrias Manufactureras Misceláneas    ,339,2, * , * , * 
Coamo,43,Comercio al por Mayor                    ,42,3, 12 ," 65,076 "," 5,423 "
Coamo,43,Comercio al Detal                        ,44-45,67, 588 ," 2,604,183 "," 4,426 "
Coamo,43,Transportación y Almacenamiento           ,48-49,4, 29 ," 340,468 "," 11,607 "
Coamo,43,Información                              ,51,5, 18 ," 67,415 "," 3,816 "
Coamo,43,Finanzas y Seguros                       ,52,10, 131 ," 1,089,563 "," 8,317 "
Coamo,43,"Bienes Raíces, Renta o Arrendamiento     ",53,4, 11 ," 50,423 "," 4,449 "
Coamo,43,Servicios Profesionales y Técnicos       ,54,16, 46 ," 321,636 "," 7,043 "
Coamo,43,Gerencia de Companías y Empresas         ,55,0, -   , -   , -   
Coamo,43,Servicios Adm. y Desperdicios Sólidos    ,56,8, 88 ," 367,637 "," 4,194 "
Coamo,43,Servicios Educativos                     ,61,5, 609 ," 3,844,171 "," 6,316 "
Coamo,43,Servicios de Salud y Asistencia Social   ,62,42, 261 ," 1,415,152 "," 5,422 "
Coamo,43,"Arte, Entretenimiento y Recreación       ",71,3, 4 ," 27,965 "," 6,991 "
Coamo,43,Alojamiento y Servicios de Alimentos     ,72,40, 397 ," 1,039,826 "," 2,621 "
Coamo,43,Otros Servicios Excepto Adm. Pública     ,81,9, 20 ," 76,857 "," 3,908 "
Coamo,43,Administración Pública                   ,92,15, 421 ," 2,159,742 "," 5,126 "
Coamo,43,Otros (Establecimientos no Clasificados) ,99,0, -   , -   , -   
Comerío,45,Total Municipio Tercer Trimestre 2021 ,,135," 1,636 "," 8,865,056 "," 5,419 "
Comerío,45,"Agricultura, Bosque, Pesca y Caza        ",11,22, 43 ," 125,810 "," 2,926 "
Comerío,45,Mineria                                  ,21,0, -   , -   , -   
Comerío,45,"Electricidad, Agua y Gas                 ",22,1, * , * , * 
Comerío,45,Construcción                             ,23,8, 51 ," 295,683 "," 5,836 "
Comerío,45,Manufactura                              ,31-33,5, 32 ," 108,961 "," 3,370 "
Comerío,45,Alimentos                                ,311,1, * , * , * 
Comerío,45,Productos de Tabaco y Bebidas            ,312,2, * , * , * 
Comerío,45,Textiles                                 ,313,0, -   , -   , -   
Comerío,45,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Comerío,45,Ropa                                     ,315,1, * , * , * 
Comerío,45,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
Comerío,45,Productos de Madera                      ,321,0, -   , -   , -   
Comerío,45,Papel                                    ,322,0, -   , -   , -   
Comerío,45,Imprenta e Industrias Relacionadas       ,323,0, -   , -   , -   
Comerío,45,Productos de Petróleo y Carbón           ,324,0, -   , -   , -   
Comerío,45,Productos Químicos                       ,325,0, -   , -   , -   
Comerío,45,Productos de Goma y Plásticos            ,326,0, -   , -   , -   
Comerío,45,Productos Minerales no Metálicos         ,327,0, -   , -   , -   
Comerío,45,Industrias de Materiales Primarios       ,331,0, -   , -   , -   
Comerío,45,Productos de Metal                       ,332,0, -   , -   , -   
Comerío,45,Maquinaria                               ,333,0, -   , -   , -   
Comerío,45,Computadora y Productos Electrónicos    ,334,0, -   , -   , -   
Comerío,45,Equipo y Aparatos Eléctricos             ,335,0, -   , -   , -   
Comerío,45,Equipo de Transportación                 ,336,0, -   , -   , -   
Comerío,45,Muebles y Productos Relacionados         ,337,1, * , * , * 
Comerío,45,Industrias Manufactureras Misceláneas    ,339,0, -   , -   , -   
Comerío,45,Comercio al por Mayor                    ,42,5, 50 ," 177,623 "," 3,576 "
Comerío,45,Comercio al Detal                        ,44-45,31, 361 ," 1,785,088 "," 4,949 "
Comerío,45,Transportación y Almacenamiento           ,48-49,8, 79 ," 512,236 "," 6,457 "
Comerío,45,Información                              ,51,0, -   , -   , -   
Comerío,45,Finanzas y Seguros                       ,52,3, 41 ," 289,412 "," 7,059 "
Comerío,45,"Bienes Raíces, Renta o Arrendamiento     ",53,2, * , * , * 
Comerío,45,Servicios Profesionales y Técnicos       ,54,2, * , * , * 
Comerío,45,Gerencia de Companías y Empresas         ,55,0, -   , -   , -   
Comerío,45,Servicios Adm. y Desperdicios Sólidos    ,56,3, 23 ," 98,400 "," 4,341 "
Comerío,45,Servicios Educativos                     ,61,2, 347 ," 2,212,292 "," 6,382 "
Comerío,45,Servicios de Salud y Asistencia Social   ,62,18, 186 ," 1,276,222 "," 6,874 "
Comerío,45,"Arte, Entretenimiento y Recreación       ",71,2, * , * , * 
Comerío,45,Alojamiento y Servicios de Alimentos     ,72,9, 34 ," 134,425 "," 3,993 "
Comerío,45,Otros Servicios Excepto Adm. Pública     ,81,3, * , * , * 
Comerío,45,Administración Pública                   ,92,11, 350 ," 1,600,914 "," 4,574 "
Comerío,45,Otros (Establecimientos no Clasificados) ,99,0, -   , -   , -   
Corozal,47,Total Municipio Tercer Trimestre 2021 ,,324," 3,618 "," 18,276,745 "," 5,052 "
Corozal,47,"Agricultura, Bosque, Pesca y Caza        ",11,27, 89 ," 268,855 "," 3,010 "
Corozal,47,Mineria                                  ,21,0, -   , -   , -   
Corozal,47,"Electricidad, Agua y Gas                 ",22,2, * , * , * 
Corozal,47,Construcción                             ,23,22, 95 ," 572,366 "," 6,004 "
Corozal,47,Manufactura                              ,31-33,19, 789 ," 3,377,136 "," 4,282 "
Corozal,47,Alimentos                                ,311,5, 16 ," 54,897 "," 3,504 "
Corozal,47,Productos de Tabaco y Bebidas            ,312,0, -   , -   , -   
Corozal,47,Textiles                                 ,313,0, -   , -   , -   
Corozal,47,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Corozal,47,Ropa                                     ,315,3, * , * , * 
Corozal,47,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
Corozal,47,Productos de Madera                      ,321,0, -   , -   , -   
Corozal,47,Papel                                    ,322,1, * , * , * 
Corozal,47,Imprenta e Industrias Relacionadas       ,323,0, -   , -   , -   
Corozal,47,Productos de Petróleo y Carbón           ,324,0, -   , -   , -   
Corozal,47,Productos Químicos                       ,325,0, -   , -   , -   
Corozal,47,Productos de Goma y Plásticos            ,326,1, * , * , * 
Corozal,47,Productos Minerales no Metálicos         ,327,3, * , * , * 
Corozal,47,Industrias de Materiales Primarios       ,331,0, -   , -   , -   
Corozal,47,Productos de Metal                       ,332,1, * , * , * 
Corozal,47,Maquinaria                               ,333,0, -   , -   , -   
Corozal,47,Computadora y Productos Electrónicos    ,334,0, -   , -   , -   
Corozal,47,Equipo y Aparatos Eléctricos             ,335,0, -   , -   , -   
Corozal,47,Equipo de Transportación                 ,336,2, * , * , * 
Corozal,47,Muebles y Productos Relacionados         ,337,3, 7 ," 43,378 "," 5,915 "
Corozal,47,Industrias Manufactureras Misceláneas    ,339,0, -   , -   , -   
Corozal,47,Comercio al por Mayor                    ,42,10, 52 ," 269,650 "," 5,153 "
Corozal,47,Comercio al Detal                        ,44-45,81, 595 ," 2,624,231 "," 4,413 "
Corozal,47,Transportación y Almacenamiento           ,48-49,13, 170 ," 758,814 "," 4,464 "
Corozal,47,Información                              ,51,1, * , * , * 
Corozal,47,Finanzas y Seguros                       ,52,4, 72 ," 480,825 "," 6,647 "
Corozal,47,"Bienes Raíces, Renta o Arrendamiento     ",53,6, 14 ," 96,652 "," 7,072 "
Corozal,47,Servicios Profesionales y Técnicos       ,54,17, 53 ," 338,865 "," 6,394 "
Corozal,47,Gerencia de Companías y Empresas         ,55,0, -   , -   , -   
Corozal,47,Servicios Adm. y Desperdicios Sólidos    ,56,8, 88 ," 294,826 "," 3,338 "
Corozal,47,Servicios Educativos                     ,61,2, 473 ," 3,230,121 "," 6,829 "
Corozal,47,Servicios de Salud y Asistencia Social   ,62,56, 464 ," 2,602,789 "," 5,613 "
Corozal,47,"Arte, Entretenimiento y Recreación       ",71,0, -   , -   , -   
Corozal,47,Alojamiento y Servicios de Alimentos     ,72,34, 245 ," 764,802 "," 3,122 "
Corozal,47,Otros Servicios Excepto Adm. Pública     ,81,12, 39 ," 186,050 "," 4,771 "
Corozal,47,Administración Pública                   ,92,10, 356 ," 2,241,548 "," 6,296 "
Corozal,47,Otros (Establecimientos no Clasificados) ,99,0, -   , -   , -   
Culebra,49,Total Municipio Tercer Trimestre 2021 ,,58, 424 ," 2,286,188 "," 5,396 "
Culebra,49,"Agricultura, Bosque, Pesca y Caza        ",11,1, * , * , * 
Culebra,49,Mineria                                  ,21,0, -   , -   , -   
Culebra,49,"Electricidad, Agua y Gas                 ",22,2, * , * , * 
Culebra,49,Construcción                             ,23,1, * , * , * 
Culebra,49,Manufactura                              ,31-33,0, -   , -   , -   
Culebra,49,Alimentos                                ,311,0, -   , -   , -   
Culebra,49,Productos de Tabaco y Bebidas            ,312,0, -   , -   , -   
Culebra,49,Textiles                                 ,313,0, -   , -   , -   
Culebra,49,Productos Textiles Excepto Ropa          ,314,0, -   , -   , -   
Culebra,49,Ropa                                     ,315,0, -   , -   , -   
Culebra,49,Cuero y Productos Relacionados           ,316,0, -   , -   , -   
